CommodityGroup,CommodityGroupName,CommodityCode,CommodityName
1656,Chemical wood pulp,1660,"Chemical wood pulp, sulphite, unbleached"
1656,Chemical wood pulp,1661,"Chemical wood pulp, sulphite, bleached"
1656,Chemical wood pulp,1662,"Chemical wood pulp, sulphate, unbleached"
1656,Chemical wood pulp,1663,"Chemical wood pulp, sulphate, bleached"
1656,Chemical wood pulp,1686,"Chemical wood pulp, sulphite"
1674,Printing and writing papers,1612,"Printing and writing papers, uncoated, wood containing"
1674,Printing and writing papers,1615,"Printing and writing papers, uncoated, wood free"
1674,Printing and writing papers,1616,"Printing and writing papers, coated"
1675,Other paper and paperboard,1676,Household and sanitary papers
1675,Other paper and paperboard,1681,Wrapping and packaging paper and paperboard
1675,Other paper and paperboard,1683,Other paper and paperboard n.e.s.
1675,Other paper and paperboard,1617,Case materials
1675,Other paper and paperboard,1618,Cartonboard
1675,Other paper and paperboard,1621,Wrapping papers
1675,Other paper and paperboard,1622,Other papers mainly for packaging
1695,"Wood chips, particles and residues",1619,Wood chips and particles
1695,"Wood chips, particles and residues",1620,Wood residues
1696,Wood pellets and other agglomerates,1693,Wood pellets
1696,Wood pellets and other agglomerates,1694,Other agglomerates
1859,"Wood pulp, excluding mechanical wood pulp",1655,Semi-chemical wood pulp
1859,"Wood pulp, excluding mechanical wood pulp",1656,Chemical wood pulp
1859,"Wood pulp, excluding mechanical wood pulp",1667,Dissolving wood pulp
1860,"Paper and paperboard, excluding newsprint",1674,Printing and writing papers
1860,"Paper and paperboard, excluding newsprint",1675,Other paper and paperboard
1861,Roundwood,1601,"Sawlogs and veneer logs, coniferous"
1861,Roundwood,1602,"Pulpwood, round and split, coniferous (production)"
1861,Roundwood,1603,"Pulpwood, round and split, non-coniferous (production)"
1861,Roundwood,1604,"Sawlogs and veneer logs, non-coniferous"
1861,Roundwood,1608,"Pulpwood and particles, coniferous (production, 1961-1997)"
1861,Roundwood,1611,"Pulpwood and particles, non-coniferous (production, 1961-1997)"
1861,Roundwood,1614,"Pulpwood, round and split, all species (export/import, 1961-1989)"
1861,Roundwood,1623,"Other industrial roundwood, coniferous (production)"
1861,Roundwood,1625,"Other industrial roundwood, all species (export/import, 1961-1989)"
1861,Roundwood,1626,"Other industrial roundwood, non-coniferous (production)"
1861,Roundwood,1627,"Wood fuel, coniferous"
1861,Roundwood,1628,"Wood fuel, non-coniferous"
1861,Roundwood,1629,"Wood fuel, all species (export/import)"
1861,Roundwood,1651,"Industrial roundwood, coniferous (export/import)"
1861,Roundwood,1657,"Industrial roundwood, non-coniferous tropical (export/import)"
1861,Roundwood,1670,"Industrial roundwood, non-coniferous non-tropical (export/import)"
1862,"Roundwood, coniferous (production)",1601,"Sawlogs and veneer logs, coniferous"
1862,"Roundwood, coniferous (production)",1602,"Pulpwood, round and split, coniferous (production)"
1862,"Roundwood, coniferous (production)",1608,"Pulpwood and particles, coniferous (production, 1961-1997)"
1862,"Roundwood, coniferous (production)",1623,"Other industrial roundwood, coniferous (production)"
1862,"Roundwood, coniferous (production)",1627,"Wood fuel, coniferous"
1862,"Roundwood, coniferous (production)",1651,"Industrial roundwood, coniferous (export/import)"
1863,"Roundwood, non-coniferous (production)",1603,"Pulpwood, round and split, non-coniferous (production)"
1863,"Roundwood, non-coniferous (production)",1604,"Sawlogs and veneer logs, non-coniferous"
1863,"Roundwood, non-coniferous (production)",1611,"Pulpwood and particles, non-coniferous (production, 1961-1997)"
1863,"Roundwood, non-coniferous (production)",1626,"Other industrial roundwood, non-coniferous (production)"
1863,"Roundwood, non-coniferous (production)",1628,"Wood fuel, non-coniferous"
