"country","partner"
" Afghanistan","FAO"
" Africa","NA"
" Albania","ECE"
" Algeria","FAO"
" American Samoa","NA"
" Andorra","ECE"
" Angola","FAO"
" Anguilla","NA"
" Antarctica","NA"
" Antigua and Barbuda","FAO"
" Argentina","FAO"
" Armenia","ECE"
" Aruba","NA"
" Asia","NA"
" Australia","FAO"
" Austria","EUROSTAT"
" Azerbaijan","ECE"
" Bahamas","FAO"
" Bahrain","FAO"
" Bangladesh","FAO"
" Barbados","FAO"
" Belarus","ECE"
" Belgium","EUROSTAT"
" Belgium-Luxembourg","NA"
" Belize","FAO"
" Benin","ITTO"
" Bhutan","FAO"
" Bolivia (Plurinational State of)","FAO"
" Bosnia and Herzegovina","ECE"
" Botswana","FAO"
" Brazil","ITTO"
" British Indian Ocean Territory","NA"
" British Virgin Islands","NA"
" Brunei Darussalam","FAO"
" Bulgaria","EUROSTAT"
" Burkina Faso","FAO"
" Burundi","FAO"
" Cabo Verde","FAO"
" Cambodia","ITTO"
" Cameroon","ITTO"
" Canada","ECE"
" Cayman Islands","NA"
" Central African Republic","ITTO"
" Chad","FAO"
" Chile","FAO"
" China-- Hong Kong SAR ","FAO"
" China-- Macao SAR ","FAO"
" China-- mainland","FAO"
" China-- Taiwan Province of","FAO"
" Christmas Island","NA"
" Cocos (Keeling) Islands","NA"
" Colombia","ITTO"
" Comoros","FAO"
" Congo","ITTO"
" Cook Islands","FAO"
" Costa Rica","ITTO"
" Côte d'Ivoire","ITTO"
" Croatia","EUROSTAT"
" Cuba","FAO"
" Curaçao","NA"
" Cyprus","EUROSTAT"
" Czech Republic","EUROSTAT"
" Czechoslovakia","NA"
" Democratic People's Republic of Korea","FAO"
" Democratic Republic of the Congo","ITTO"
" Denmark","EUROSTAT"
" Djibouti","FAO"
" Dominica","FAO"
" Dominican Republic","FAO"
" Ecuador","ITTO"
" Egypt","FAO"
" El Salvador","FAO"
" Equatorial Guinea","FAO"
" Eritrea","FAO"
" Estonia","EUROSTAT"
" Ethiopia","FAO"
" Ethiopia PDR","FAO"
" Europe","NA"
" Falkland Islands (Malvinas)","NA"
" Faroe Islands","NA"
" Fiji","ITTO"
" Finland","EUROSTAT"
" France","EUROSTAT"
" French Guiana","NA"
" French Polynesia","NA"
" French Southern and Antarctic Territories","NA"
" Gabon","ITTO"
" Gambia","FAO"
" Georgia","ECE"
" Germany","EUROSTAT"
" Ghana","ITTO"
" Gibraltar","NA"
" Greece","EUROSTAT"
" Greenland","NA"
" Grenada","FAO"
" Guadeloupe","NA"
" Guatemala","ITTO"
" Guinea","FAO"
" Guinea-Bissau","FAO"
" Guyana","ITTO"
" Haiti","FAO"
" Honduras","ITTO"
" Hungary","EUROSTAT"
" Iceland","EUROSTAT"
" India","ITTO"
" Indonesia","ITTO"
" Iran (Islamic Republic of)","FAO"
" Iraq","FAO"
" Ireland","EUROSTAT"
" Israel","ECE"
" Italy","EUROSTAT"
" Jamaica","FAO"
" Japan","ITTO"
" Jordan","FAO"
" Kazakhstan","ECE"
" Kenya","FAO"
" Kiribati","FAO"
" Kuwait","FAO"
" Kyrgyzstan","ECE"
" Lao People's Democratic Republic","FAO"
" Latin America & Caribbean","NA"
" Latvia","EUROSTAT"
" Lebanon","FAO"
" Lesotho","FAO"
" Liberia","ITTO"
" Libya","FAO"
" Liechtenstein","EUROSTAT"
" Lithuania","EUROSTAT"
" Luxembourg","EUROSTAT"
" Madagascar","ITTO"
" Malawi","FAO"
" Malaysia","ITTO"
" Maldives","FAO"
" Mali","ITTO"
" Malta","EUROSTAT"
" Marshall Islands","NA"
" Martinique","NA"
" Mauritania","FAO"
" Mauritius","FAO"
" Mayotte","NA"
" Mexico","ITTO"
" Micronesia (Federated States of)","NA"
" Mongolia","FAO"
" Montenegro","ECE"
" Montserrat","NA"
" Morocco","FAO"
" Mozambique","ITTO"
" Myanmar","ITTO"
" Namibia","FAO"
" Nauru","NA"
" Nepal","FAO"
" Netherlands","EUROSTAT"
" Netherlands Antilles","NA"
" New Caledonia","NA"
" New Zealand","FAO"
" Nicaragua","FAO"
" Niger","FAO"
" Nigeria","FAO"
" Niue","NA"
" Norfolk Island","NA"
" Northern America","NA"
" Northern Mariana Islands","NA"
" Norway","EUROSTAT"
" Occupied Palestinian Territory ","NA"
" Oceania","NA"
" Oman","FAO"
" Pacific Islands Trust Territory","NA"
" Pakistan","FAO"
" Palau","NA"
" Panama","ITTO"
