ItemGroupCode,ItemGroupName
1695,"Wood chips, particles and residues"
1696,Wood pellets and other agglomerates
1859,"Wood pulp, excluding mechanical wood pulp"
1860,"Paper and paperboard, excluding newsprint"
1861,Roundwood
1862,"Roundwood, coniferous (production)"
1863,"Roundwood, non-coniferous (production)"
1864,Wood fuel
1865,Industrial roundwood
1866,"Industrial roundwood, coniferous"
1867,"Industrial roundwood, non-coniferous"
1868,Sawlogs and veneer logs
1870,Pulpwood and particles (1961-1997)
1871,Other industrial roundwood
1872,Sawnwood
1873,Wood-based panels
1874,Fibreboard
1875,Wood pulp
1876,Paper and paperboard
1878,Pulp for paper
1879,Total fibre furnish
2038,"Pulpwood, round and split, all species (production)"
2040,Other pulp
2042,Graphic papers
2043,Packaging paper and paperboard
2063,Further processed sawnwood
1695,"Wood chips, particles and residues"
1696,Wood pellets and other agglomerates
1859,"Wood pulp, excluding mechanical wood pulp"
1860,"Paper and paperboard, excluding newsprint"
1861,Roundwood
1862,"Roundwood, coniferous (production)"
1863,"Roundwood, non-coniferous (production)"
1864,Wood fuel
1865,Industrial roundwood
1866,"Industrial roundwood, coniferous"
1867,"Industrial roundwood, non-coniferous"
1868,Sawlogs and veneer logs
1871,Other industrial roundwood
1872,Sawnwood
1873,Wood-based panels
1874,Fibreboard
1875,Wood pulp
1876,Paper and paperboard
1877,Forest products (export/import)
1878,Pulp for paper
1879,Total fibre furnish
2038,"Pulpwood, round and split, all species (production)"
2040,Other pulp
2042,Graphic papers
2043,Packaging paper and paperboard
2063,Further processed sawnwood
2063,Further processed sawnwood
5221,Secondary wood products
5229,Secondary paper products
1695,"Wood chips, particles and residues"
1696,Wood pellets and other agglomerates
1861,Roundwood
1862,"Roundwood, coniferous (production)"
1863,"Roundwood, non-coniferous (production)"
1864,Wood fuel
1865,Industrial roundwood
1866,"Industrial roundwood, coniferous"
1867,"Industrial roundwood, non-coniferous"
1868,Sawlogs and veneer logs
1870,Pulpwood and particles (1961-1997)
1871,Other industrial roundwood
1872,Sawnwood
1873,Wood-based panels
1874,Fibreboard
1875,Wood pulp
1876,Paper and paperboard
2038,"Pulpwood, round and split, all species (production)"
2040,Other pulp
2042,Graphic papers
2043,Packaging paper and paperboard
2063,Further processed sawnwood
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
